model,mcc,lower,upper,task
NLI Base,0.6584535767050649,0.6467075464547015,0.6705288053862659,overall
NLI Large,0.731020688044448,0.7204575088046969,0.7417592972309833,overall
PolNLI Base,0.8942685937261338,0.886919007766383,0.9013474873993453,overall
Llama 3.1 8B,0.730997465715052,0.7204191181852273,0.7412668877975946,overall
PolNLI Large,0.9159113543255459,0.9094581341114935,0.9221720147412499,overall
Claude 3.5 Sonnet,0.8159020948810487,0.8068186748026913,0.8248223059306717,overall
DeBERTa Base,0.5289183678708819,0.4997522828549496,0.5572300816759418,event extraction
DeBERTa Large,0.7188049519967151,0.6948186486768433,0.74157366184352,event extraction
PolNLI Base,0.8137417060044928,0.7920300310292617,0.833727406146798,event extraction
Llama 3.1 8B,0.8082438057614253,0.7855273102283463,0.8287961371887548,event extraction
PolNLI Large,0.8196990681682195,0.797486002428103,0.8398627152207738,event extraction
Claude 3.5 Sonnet,0.7848378806669023,0.7651522184747399,0.8037064196749641,event extraction
DeBERTa Base,0.49431935984708797,0.45536145244160947,0.5317990282706155,hatespeech and toxicity
DeBERTa Large,0.5718241284694139,0.5346724747804203,0.6074449330300746,hatespeech and toxicity
PolNLI Base,0.8414098186109913,0.8166544159476002,0.8636223571948922,hatespeech and toxicity
Llama 3.1 8B,0.5590600707404788,0.5321026663811099,0.5861313396623408,hatespeech and toxicity
PolNLI Large,0.8815347897752717,0.8597416578722691,0.9005029987896905,hatespeech and toxicity
Claude 3.5 Sonnet,0.571282181538718,0.5346710452317196,0.606687377851978,hatespeech and toxicity
DeBERTa Base,0.5538244480982342,0.5308287878907363,0.57706195462643,stance detection
DeBERTa Large,0.6129216265645098,0.5910716734659609,0.633362870926228,stance detection
PolNLI Base,0.9205995459355139,0.9089316625606224,0.9310304152314223,stance detection
Llama 3.1 8B,0.6056089325083881,0.5840982890582871,0.6272629238084423,stance detection
PolNLI Large,0.9690090406036594,0.961476373350327,0.9754480718954348,stance detection
Claude 3.5 Sonnet,0.7918826356793668,0.7744004384233948,0.8083886422635705,stance detection
DeBERTa Base,0.8757623562312827,0.8617060931915066,0.8888846540150922,topic classification
DeBERTa Large,0.8992918943224919,0.8859990133853503,0.9110689773528675,topic classification
PolNLI Base,0.9262407487175157,0.9145036249813863,0.9365677805974841,topic classification
Llama 3.1 8B,0.918734477127822,0.9067109479519987,0.9294213459027901,topic classification
PolNLI Large,0.9244955573621866,0.9128922451473824,0.9348046558173756,topic classification
Claude 3.5 Sonnet,0.946774699749963,0.9366591296021518,0.95544619025672,topic classification
