Model,MCC,Accuracy,F1,MCC_SE,Accuracy_SE,F1_SE,MCC_Lower,MCC_Upper,Accuracy_Lower,Accuracy_Upper,F1_Lower,F1_Upper,Task
base_nli,0.6570272688454533,0.834374593257842,0.8303348600400543,0.006075324898835985,0.002999597559267333,0.0031350247034417295,0.6509519439466173,0.6631025937442893,0.8313749956985746,0.8373741908171094,0.8271998353366126,0.833469884743496,overall
large_nli,0.7188001128313171,0.8630743199271118,0.8599110355819053,0.005657002006085299,0.0028592163293485327,0.00297531859594113,0.7131431108252317,0.7244571148374024,0.8602151035977633,0.8659335362564603,0.8569357169859642,0.8628863541778464,overall
base_debate,0.8920876232715477,0.9478719250292854,0.9476700875943393,0.003660140457628927,0.0017783363159538598,0.0017932091348636368,0.8884274828139187,0.8957477637291766,0.9460935887133316,0.9496502613452392,0.9458768784594758,0.9494632967292029,overall
large_debate,0.9159113543255459,0.9593257841988806,0.9591803773569109,0.0032036254381241844,0.0015610500312585492,0.0015722862175623074,0.9127077288874218,0.9191149797636701,0.9577647341676221,0.9608868342301391,0.9576080911393485,0.9607526635744732,overall
base_modern,0.8777077642806328,0.9408434205388521,0.9408585015226899,0.00393306081249226,0.0018993421025136023,0.0018991004210467525,0.8737747034681406,0.881640825093125,0.9389440784363384,0.9427427626413657,0.9389594011016431,0.9427576019437367,overall
large_modern,0.9130685982295065,0.9580242092932448,0.9579867442175349,0.003298158834535516,0.0015901924546281076,0.0015923545421635875,0.9097704393949709,0.916366757064042,0.9564340168386167,0.9596144017478729,0.9563943896753714,0.9595790987596985,overall
llama,0.730997465715052,0.8623584537290121,0.8634672845967193,0.005246303694420681,0.0027503885766988925,0.0027068787024448334,0.7257511620206313,0.7362437694094727,0.8596080651523132,0.865108842305711,0.8607604058942745,0.8661741632991641,overall
sonnet,0.8159020948810487,0.9105167252375375,0.9094228660134336,0.004597367600848872,0.0022878060940263937,0.0023414852709451946,0.8113047272801999,0.8204994624818975,0.9082289191435111,0.9128045313315638,0.9070813807424883,0.9117643512843788,overall
base_nli,0.5385913687062713,0.7538407821229051,0.7531687541235159,0.014565051640991514,0.007981876414298249,0.008031804340978976,0.5240263170652798,0.5531564203472629,0.7458589057086068,0.7618226585372033,0.745136949782537,0.7612005584644949,event extraction
base_nli,0.5505689948243845,0.8580946035976016,0.8453609854350836,0.019257189194701204,0.006393874784652358,0.007417754016655213,0.5313118056296833,0.5698261840190857,0.8517007288129492,0.864488478382254,0.8379432314184284,0.8527787394517389,hatespeech and toxicity
base_nli,0.5307111976620402,0.7752853995593831,0.7702020368078792,0.012093043965800904,0.005855777933795199,0.0060998516838169205,0.5186181536962393,0.5428042416278411,0.7694296216255879,0.7811411774931784,0.7641021851240624,0.7763018884916961,stance detection
base_nli,0.8710006550529824,0.9352118926114932,0.9345499509937515,0.006886105438805511,0.0035931306501310587,0.003665246060421899,0.8641145496141769,0.8778867604917879,0.9316187619613622,0.9388050232616242,0.9308847049333296,0.9382151970541733,topic classification
large_nli,0.7230420582291559,0.852304469273743,0.8525987085599621,0.012212321023957506,0.0067725042692552756,0.006746912380506535,0.7108297372051984,0.7352543792531134,0.8455319650044878,0.8590769735429983,0.8458517961794556,0.8593456209404686,event extraction
large_nli,0.5535507476987201,0.8544303797468354,0.8481426215856527,0.019521799360857028,0.006853137944213845,0.007397901858408424,0.5340289483378631,0.5730725470595772,0.8475772418026216,0.8612835176910493,0.8407447197272443,0.8555405234440611,hatespeech and toxicity
large_nli,0.5850068195234642,0.7977168035249349,0.7894285525585683,0.010967265239499039,0.005541040862202712,0.005955181633450027,0.5740395542839651,0.5959740847629633,0.7921757626627322,0.8032578443871377,0.7834733709251183,0.7953837341920182,stance detection
large_nli,0.8964000277044216,0.9480807632571555,0.9476629799576863,0.006139347232209649,0.003174377945838688,0.0032231234506946782,0.890260680472212,0.9025393749366313,0.9449063853113169,0.9512551412029941,0.9444398565069917,0.950886103408381,topic classification
base_debate,0.7659225469239244,0.8784916201117319,0.8789344498439242,0.011207613909281797,0.005979977350452015,0.0059464926309727995,0.7547149330146425,0.7771301608332062,0.8725116427612799,0.8844715974621838,0.8729879572129514,0.884880942474897,event extraction
base_debate,0.8566442668307902,0.9506995336442372,0.950405145629025,0.011637820019097021,0.004047271242924276,0.004092201470717234,0.8450064468116932,0.8682820868498872,0.946652262401313,0.9547468048871615,0.9463129441583078,0.9544973470997422,hatespeech and toxicity
base_debate,0.9384035034702919,0.9701582215101141,0.9701351703587762,0.004939969856353252,0.002390980543916552,0.0023939105785813273,0.9334635336139386,0.9433434733266451,0.9677672409661976,0.9725492020540306,0.9677412597801949,0.9725290809373575,stance detection
base_debate,0.9293914161211119,0.9653871755047704,0.96535080588272,0.005516459407869581,0.0027071422851456155,0.0027129278476686574,0.9238749567132423,0.9349078755289815,0.9626800332196248,0.968094317789916,0.9626378780350514,0.9680637337303887,topic classification
large_debate,0.819048647393152,0.909217877094972,0.9094920656681634,0.010225071067945898,0.005190809156444525,0.005162745052668161,0.8088235763252061,0.8292737184610979,0.9040270679385275,0.9144086862514166,0.9043293206154953,0.9146548107208315,event extraction
large_debate,0.8825476198818316,0.9596935376415723,0.9593737351983551,0.010507317062896393,0.003605120267784098,0.0036638119176946003,0.8720403028189352,0.893054936944728,0.9560884173737881,0.9632986579093564,0.9557099232806605,0.9630375471160497,hatespeech and toxicity
large_debate,0.9690090406036594,0.9849789705587823,0.9849718566709788,0.003519660916750148,0.001708010163466929,0.0017098334732292507,0.9654893796869093,0.9725287015204096,0.9832709603953154,0.9866869807222491,0.9832620231977495,0.986681690144208,stance detection
large_debate,0.9244955573621866,0.9625027734635012,0.9623224470192067,0.0054932294434286814,0.002786373185076791,0.0028120910580518832,0.9190023279187579,0.9299887868056153,0.9597164002784244,0.965289146648578,0.9595103559611547,0.9651345380772586,topic classification
base_modern,0.7982879676613032,0.9008379888268156,0.9006969366959534,0.01156739934762943,0.005678821056738548,0.00568881383707164,0.7867205683136738,0.8098553670089326,0.8951591677700771,0.9065168098835542,0.8950081228588818,0.9063857505330251,event extraction
base_modern,0.8338224743415412,0.9413724183877415,0.9417642675166761,0.011481640704519161,0.004101138063211561,0.00404059808985185,0.822340833637022,0.8453041150460604,0.93727128032453,0.9454735564509531,0.9377236694268243,0.9458048656065279,hatespeech and toxicity
base_modern,0.890243670174124,0.9467254155818146,0.9467480031554345,0.006649575242472999,0.0032269237259813324,0.003223154679662562,0.883594094931651,0.896893245416597,0.9434984918558332,0.9499523393077959,0.9435248484757719,0.9499711578350971,stance detection
base_modern,0.9171867719112318,0.9593964943421345,0.9593323276892529,0.006060248770285901,0.002974040240927648,0.0029839067470017397,0.9111265231409459,0.9232470206815176,0.9564224541012069,0.9623705345830621,0.9563484209422511,0.9623162344362547,topic classification
large_modern,0.8640055967008871,0.9329608938547486,0.9329892499039261,0.009354874055839572,0.004615556962378557,0.004610628778976187,0.8546507226450475,0.8733604707567266,0.92834533689237,0.9375764508171271,0.9283786211249498,0.9375998786829023,event extraction
large_modern,0.8641671447029621,0.9526982011992006,0.9527480632674907,0.010892377141399255,0.0038321227549584337,0.003835339861103341,0.8532747675615628,0.8750595218443613,0.9488660784442421,0.956530323954159,0.9489127234063874,0.956583403128594,hatespeech and toxicity
large_modern,0.9309654795316369,0.966553174444222,0.9665323600268165,0.0052241640362035,0.0025339827241628214,0.002536897802737883,0.9257413154954334,0.9361896435678404,0.9640191917200591,0.9690871571683848,0.9639954622240786,0.9690692578295544,stance detection
large_modern,0.934889042371824,0.9680497004659419,0.9679980537095854,0.005341371174837287,0.002634731712589432,0.0026426852541107347,0.9295476711969868,0.9402304135466613,0.9654149687533524,0.9706844321785313,0.9653553684554746,0.9706407389636961,topic classification
llama,0.8082438057614253,0.9057262569832403,0.9054799037285587,0.010487865859224002,0.005156382401456855,0.005185369706460212,0.7977559399022013,0.8187316716206493,0.9005698745817834,0.9108826393846972,0.9002945340220985,0.9106652734350189,event extraction
llama,0.5590600707404788,0.782145236508994,0.7990667713397408,0.013940104911331488,0.007640175173898095,0.006795530420764457,0.5451199658291473,0.5730001756518103,0.7745050613350959,0.7897854116828922,0.7922712409189764,0.8058623017605052,hatespeech and toxicity
llama,0.6056089325083881,0.798117364310034,0.799650525311406,0.011004553950212572,0.005684039402284183,0.005608859930049158,0.5946043785581755,0.6166134864586007,0.7924333249077498,0.8038014037123182,0.7940416653813569,0.8052593852414551,stance detection
llama,0.918734477127822,0.9593964943421345,0.9595045706285824,0.005761939728494634,0.002909658197046264,0.0028941128784120865,0.9129725373993274,0.9244964168563166,0.9564868361450882,0.9623061525391807,0.9566104577501703,0.9623986835069945,topic classification
sonnet,0.7848378806669023,0.8809357541899442,0.8810631400029018,0.00985905254699761,0.006020853135414532,0.006018836342999101,0.7749788281199047,0.7946969332138999,0.8749149010545296,0.8869566073253587,0.8750443036599027,0.8870819763459008,event extraction
sonnet,0.571282181538718,0.8624250499666889,0.8536263709093089,0.01856799583662851,0.006296661699534878,0.006993633146623853,0.5527141857020895,0.5898501773753465,0.856128388267154,0.8687217116662238,0.8466327377626851,0.8606200040559328,hatespeech and toxicity
sonnet,0.7918826356793668,0.8992589625475665,0.8984146890782952,0.008873724860412152,0.004301797258860164,0.004374809773619851,0.7830089108189546,0.8007563605397789,0.8949571652887064,0.9035607598064267,0.8940398793046754,0.9027894988519151,stance detection
sonnet,0.946774699749963,0.9738185045484802,0.9737646096226698,0.004640478116728502,0.0023001897373063573,0.0023095665554573146,0.9421342216332345,0.9514151778666915,0.9715183148111738,0.9761186942857866,0.9714550430672124,0.9760741761781271,topic classification
base_nli,0.4964747537950312,0.7634730538922155,0.7599360144349001,0.01647323461552117,0.007852337401286696,0.008064446097561415,0.48000151917951,0.5129479884105523,0.7556207164909289,0.7713253912935022,0.7518715683373387,0.7680004605324615,PoliStance_Affect
base_nli,0.043096328281675506,0.5630498533724341,0.5558937046880907,0.05488992790668895,0.02670075834042487,0.027613958715436572,-0.011793599625013446,0.09798625618836446,0.5363490950320092,0.5897506117128589,0.5282797459726541,0.5835076634035273,PoliStance_Affect_QT
base_nli,0.5032714872080997,0.7073707370737073,0.6898785464012611,0.01623964422775272,0.011198436037116333,0.012403286378570601,0.48703184298034696,0.5195111314358524,0.696172301036591,0.7185691731108237,0.6774752600226905,0.7022818327798317,acled_event_entailment
base_nli,0.7601439452045016,0.8721389108129439,0.8691386188926491,0.016550560351078155,0.009735729465450987,0.010143965504374526,0.7435933848534234,0.7766945055555797,0.8624031813474929,0.8818746402783949,0.8589946533882745,0.8792825843970237,argument_quality_ranking_entailment
base_nli,0.8774333935131532,0.9361578641903656,0.9361365734997619,0.010430740634514659,0.005644946249859258,0.0056504809015944565,0.8670026528786385,0.8878641341476678,0.9305129179405064,0.9418028104402248,0.9304860925981674,0.9417870544013563,bill_summary_entailment
base_nli,0.686741517000442,0.8509803921568627,0.8515303868245044,0.04746666026959611,0.022594149212209924,0.02244247782330222,0.6392748567308458,0.7342081772700381,0.8283862429446528,0.8735745413690726,0.8290879090012022,0.8739728646478067,dehumanizing_hatespeech_entailment
base_nli,0.8720249600039565,0.9389987379049222,0.9381392242437072,0.010082320139494302,0.004958088856021958,0.005096160555401398,0.8619426398644622,0.8821072801434507,0.9340406490489002,0.9439568267609442,0.9330430636883058,0.9432353847991086,dem_rep_party_platform_topics
